season,conference,adj_off_eff,adj_def_eff,adj_tempo,eff_diff
2016,B12,118.756,98.8407,66.4547,19.915300000000002
2024,P12,117.58,99.1138,67.5073,18.4662
2015,B10,113.359,95.1085,63.3054,18.250499999999988
2025,B10,117.608,99.3124,66.991,18.295600000000007
2021,Amer,103.454,86.759,72.0585,16.694999999999993
2018,Amer,121.925,101.857,68.6357,20.067999999999998
2019,B12,114.07,96.1787,64.2286,17.891299999999987
2018,BE,115.758,97.8916,67.8456,17.8664
2018,SEC,115.14,96.4262,66.7986,18.713800000000006
2021,A10,111.309,90.4885,65.1595,20.820499999999996
2015,B12,112.877,92.759,61.7245,20.117999999999995
2022,ACC,114.268,96.4045,62.9067,17.863500000000002
2021,B12,110.059,91.2923,71.9524,18.7667
2020,B10,,,,
2023,B12,117.144,97.9996,68.8537,19.144400000000005
2017,BE,115.639,96.0487,70.8829,19.5903
2024,B12,118.527,100.123,67.1597,18.403999999999996
2016,Amer,111.651,92.899,65.7403,18.751999999999995
2022,B10,113.725,94.138,67.0758,19.58699999999999
2018,SEC,118.196,97.5614,72.2946,20.634599999999992
2020,B10,,,,
2016,SEC,114.458,94.5381,67.7217,19.9199
2016,ACC,111.357,95.507,64.9033,15.849999999999994
2022,SEC,107.64,88.5581,68.6446,19.081900000000005
2021,ACC,110.111,90.0231,71.8271,20.087900000000005
2022,BE,113.924,94.5963,64.8837,19.327700000000007
2018,B12,120.625,101.705,68.7039,18.92
2020,B10,,,,
2025,SEC,115.396,96.0081,66.4126,19.387900000000002
2023,B12,112.516,94.2021,70.2112,18.313900000000004
2023,Amer,114.701,96.0133,71.7989,18.687699999999992
2018,MWC,119.901,101.72,69.4886,18.180999999999997
2020,BE,,,,
2016,P12,112.902,93.2625,68.0218,19.639499999999998
2019,SEC,110.219,91.895,62.6903,18.323999999999998
2025,BW,115.247,96.4676,65.6518,18.779399999999995
2024,SEC,119.32,101.132,71.6891,18.187999999999988
2016,BE,111.433,93.7641,69.4734,17.668900000000008
2018,BE,116.335,98.9994,69.3438,17.3356
2023,SEC,112.596,93.9677,69.6808,18.62830000000001
2019,MWC,114.0,95.0771,69.2146,18.9229
2023,B10,114.136,95.7662,64.6104,18.369799999999998
2024,B12,113.385,94.1588,68.9374,19.226200000000006
2025,SEC,119.044,100.68,68.5273,18.36399999999999
2024,ACC,117.572,99.7813,68.1114,17.7907
2020,B10,,,,
2020,B10,,,,
2023,ACC,118.233,103.319,68.8527,14.914000000000001
2025,MWC,112.488,95.1691,72.6756,17.3189
2024,MWC,115.408,96.4708,72.6818,18.937200000000004
2018,ACC,115.822,99.9984,71.6051,15.823599999999999
2023,B12,112.366,94.3027,69.8117,18.063299999999998
2019,P12,107.7,92.5481,64.0656,15.151899999999998
2021,B10,110.916,92.1984,65.3286,18.71759999999999
2020,B10,,,,
2015,B12,113.252,94.4993,67.9793,18.75269999999999
2020,SEC,,,,
2023,B10,113.4,96.6898,64.9304,16.7102
2018,P12,119.012,99.6425,67.313,19.369500000000002
2025,MWC,116.224,98.9322,65.9525,17.29180000000001
2021,ACC,114.798,96.6159,68.8659,18.182100000000005
2019,Amer,111.566,94.515,63.1993,17.051000000000002
2021,ACC,113.332,94.783,67.7637,18.548999999999992
2021,B10,108.651,90.5084,67.7741,18.1426
2015,Amer,113.524,95.4867,62.8424,18.037300000000002
2024,B10,115.868,97.6758,68.6089,18.1922
2017,B12,113.172,97.8776,66.8837,15.294399999999996
2022,WCC,110.756,92.3886,68.6767,18.367400000000004
2017,B12,112.038,94.4839,66.1487,17.55409999999999
2023,SEC,117.41,99.6115,66.0118,17.79849999999999
2023,MWC,117.762,98.8807,68.7801,18.881299999999996
2024,B12,117.945,99.3999,66.6395,18.54509999999999
2016,BE,117.318,101.468,67.7286,15.849999999999994
2024,A10,118.604,101.307,64.1751,17.296999999999997
2019,WCC,114.634,96.9231,62.6466,17.710899999999995
2019,BE,116.973,98.1987,63.6099,18.774299999999997
2022,Amer,110.368,94.1479,70.2976,16.220099999999988
2020,B10,,,,
2024,ACC,115.895,99.532,65.4488,16.363
2025,BE,115.463,98.2653,69.0679,17.197699999999998
2016,Amer,110.035,92.8755,64.1147,17.159499999999994
2022,MWC,104.106,85.9549,65.2809,18.1511
2016,A10,110.984,94.769,69.4498,16.21499999999999
2020,BE,,,,
2023,B12,109.884,91.5493,64.3155,18.334699999999998
2024,SEC,113.66,95.6804,67.0611,17.97959999999999
2022,B12,108.261,93.3525,65.834,14.90849999999999
2024,MWC,115.379,98.7759,65.8055,16.603100000000012
2021,B12,111.427,94.7836,67.689,16.6434
2021,B10,112.66,94.5426,69.4224,18.117400000000004
2023,B10,114.651,97.2921,68.1266,17.35889999999999
2025,B10,113.62,97.4379,67.8936,16.182100000000005
2019,B12,109.401,93.8663,68.6808,15.5347
2025,B10,113.229,98.3894,67.3414,14.839600000000004
2025,B10,113.9,97.4839,64.9435,16.4161
2024,SEC,116.002,99.8937,65.8397,16.1083
2021,SEC,110.975,93.4227,68.6479,17.55229999999999
2018,BE,116.454,99.1744,70.8444,17.279599999999988
2023,CUSA,110.155,95.4719,58.768,14.683099999999996
2018,SEC,111.204,94.2949,69.0256,16.909099999999995
2025,SEC,116.677,99.5252,67.352,17.15180000000001
2024,BE,111.59,94.6554,63.2097,16.934600000000003
2016,P12,115.673,97.5601,65.2107,18.112899999999996
2023,SEC,112.689,95.2408,67.6112,17.4482
2020,SEC,,,,
2021,ACC,113.82,97.5937,69.2068,16.226299999999995
2016,WCC,118.599,100.706,61.4817,17.893
2022,B10,114.207,98.5588,66.285,15.648199999999989
2015,WCC,119.356,101.562,69.7923,17.793999999999997
2023,SEC,114.483,96.1997,66.1613,18.283299999999997
2024,MVC,118.263,102.165,70.4988,16.098
2017,BE,114.744,99.4255,67.1917,15.3185
2015,BE,112.954,95.3871,64.8656,17.56689999999999
2016,ACC,115.484,99.2827,65.557,16.20129999999999
2022,SEC,116.098,98.7358,71.7144,17.3622
2016,SEC,109.425,93.4261,69.0396,15.998899999999992
2016,ACC,119.69,103.709,64.933,15.980999999999995
2017,BE,120.943,103.371,69.9346,17.572000000000003
2016,B10,111.769,95.4038,63.2633,16.3652
2019,B12,113.517,98.2238,65.2511,15.293199999999999
2022,MVC,110.891,93.196,64.5889,17.695000000000007
2024,B12,112.253,95.5289,67.2701,16.724100000000007
2019,BE,114.15,95.7294,68.5839,18.420600000000007
2019,Amer,110.31,95.7335,64.7843,14.576499999999996
2017,SEC,112.303,96.065,65.5596,16.238
2015,SEC,114.941,97.964,69.1346,16.977000000000004
2022,B12,110.428,94.4718,64.7775,15.956199999999995
2018,MVC,111.331,96.1911,65.3221,15.139899999999997
2024,MWC,115.582,98.7643,66.6261,16.817699999999988
2024,B10,116.639,100.73,63.7345,15.908999999999992
2021,P12,109.326,99.1533,65.3971,10.172699999999992
2017,SEC,116.639,101.04,69.4151,15.59899999999999
2023,ACC,111.166,94.7544,61.5696,16.411599999999993
2017,A10,110.668,95.0527,66.1243,15.615300000000005
2024,P12,113.431,97.2153,64.82,16.2157
2016,B12,112.821,95.7146,65.1637,17.106399999999994
2019,ACC,108.666,90.7277,65.9642,17.938299999999998
2022,B10,116.627,100.804,64.9727,15.822999999999993
2018,WCC,119.828,102.67,63.7541,17.158
2017,ACC,120.873,103.6,70.4705,17.27300000000001
2025,SEC,117.933,101.772,69.4443,16.161
2023,B10,112.167,95.6864,69.3873,16.480599999999995
2015,A10,110.62,94.1043,66.5049,16.51570000000001
2019,B10,117.163,101.207,69.3715,15.956000000000003
2023,B10,116.826,101.79,64.6096,15.035999999999987
2024,MWC,114.005,97.6233,66.7868,16.381699999999995
2018,B12,111.2,95.0346,66.4201,16.165400000000005
2025,MWC,115.965,100.045,65.1812,15.920000000000002
2017,B10,109.574,92.9833,69.3901,16.5907
2018,ACC,115.016,98.3773,68.6757,16.6387
2015,ACC,114.001,98.6377,63.8463,15.36330000000001
2024,B12,115.101,97.8086,69.6647,17.2924
2020,SEC,,,,
2022,BE,111.929,98.0491,65.193,13.879900000000006
2015,MWC,104.401,88.1829,59.9465,16.218099999999993
2024,ACC,114.386,101.33,68.0591,13.055999999999997
2016,BE,112.386,98.3178,70.106,14.06819999999999
2023,MWC,110.969,93.8352,66.5002,17.133799999999994
2018,ACC,116.105,99.2884,65.041,16.816600000000008
2020,B10,,,,
2017,B10,111.189,95.6778,65.1075,15.511199999999988
2021,P12,110.509,98.8252,67.9379,11.683800000000005
2020,B12,,,,
2024,Amer,118.933,102.701,68.0681,16.232000000000014
2022,SEC,109.079,94.7201,66.6338,14.358899999999991
2020,P12,,,,
2020,SEC,,,,
2024,B12,114.268,98.1523,66.9613,16.115700000000004
2016,Slnd,111.339,96.9336,67.4268,14.4054
2022,ACC,111.555,96.6232,70.0023,14.93180000000001
2017,A10,112.3,96.6262,68.5788,15.6738
2023,B10,108.511,93.6787,64.9195,14.83229999999999
2022,B12,103.514,88.6145,67.5525,14.899499999999989
2015,B10,111.125,94.9328,63.7514,16.1922
2016,Horz,107.747,92.3632,66.2795,15.383799999999994
2021,ACC,106.87,90.7046,64.2422,16.165400000000005
2018,ACC,113.309,97.5988,67.0632,15.7102
2017,B10,110.569,95.5936,66.7308,14.975400000000008
2023,B10,105.826,90.0543,65.8871,15.771699999999996
2022,OVC,111.518,95.1287,65.7834,16.389300000000006
2018,ACC,113.149,96.5566,69.6575,16.592399999999998
2018,B12,109.372,93.914,65.2086,15.457999999999998
2023,B10,120.475,104.873,69.5377,15.60199999999999
2023,BE,116.847,102.117,66.9051,14.72999999999999
2025,ACC,116.616,100.431,68.4416,16.185000000000002
2016,A10,113.435,98.7988,70.3117,14.636200000000002
2015,SEC,106.976,91.4696,62.523,15.5064
2019,MWC,112.966,96.3467,67.7963,16.619299999999996
2024,P12,113.905,99.0983,69.6026,14.806700000000006
2022,B10,110.398,94.8142,66.466,15.583799999999997
2021,MWC,105.729,89.2192,68.8615,16.5098
2022,ACC,111.997,98.3632,65.7294,13.633799999999994
2020,WCC,,,,
2019,ACC,110.213,93.9133,66.0629,16.299699999999987
2024,B10,115.689,100.1,65.4385,15.588999999999999
2025,MWC,109.841,93.4701,66.0081,16.370899999999992
2020,Amer,,,,
2025,MVC,112.597,98.4566,58.8047,14.1404
2023,P12,114.454,99.6175,66.2713,14.836499999999987
2025,Amer,113.136,97.7819,70.7977,15.354100000000003
2022,MWC,108.443,92.0306,64.6171,16.41239999999999
2021,SEC,110.248,95.0983,68.7329,15.14970000000001
2015,SEC,109.524,94.1302,63.6563,15.393799999999999
2019,B12,110.357,96.1846,68.7688,14.172399999999996
2017,B12,112.554,97.8068,63.7129,14.747200000000007
2025,B12,109.028,93.9317,64.1609,15.0963
2018,B10,114.103,99.4389,66.2237,14.66409999999999
2021,A10,105.49,89.5783,69.8256,15.911699999999996
2015,A10,120.481,103.662,66.5178,16.81899999999999
2020,BE,,,,
2017,ACC,110.386,93.4254,62.9821,16.9606
2017,CUSA,111.64,96.9823,64.2498,14.657700000000006
2023,ACC,112.121,97.459,68.958,14.661999999999992
2015,B12,111.825,95.6458,62.7105,16.17920000000001
2019,ACC,112.738,96.0413,70.7634,16.696699999999993
2015,SEC,114.282,100.212,62.5421,14.069999999999993
2024,BE,112.272,99.5877,66.0186,12.684300000000007
2018,SEC,113.275,97.803,65.6199,15.472000000000008
2021,SEC,108.18,92.9496,68.3789,15.230400000000003
2020,MWC,,,,
2019,B10,109.48,94.0617,67.5287,15.418300000000002
2024,MWC,115.616,100.502,68.5317,15.114000000000004
2022,A10,116.781,101.978,64.6212,14.803000000000011
2021,B10,109.345,93.5331,66.1684,15.811899999999994
2023,B10,112.759,98.0795,67.4907,14.679500000000004
2022,ACC,114.756,102.136,67.2783,12.620000000000005
2022,B10,111.275,96.4032,67.5067,14.871800000000007
2024,WAC,113.48,99.5663,68.1075,13.913700000000006
2018,B12,112.178,97.4236,65.5437,14.754400000000004
2025,B12,110.524,95.7158,65.4285,14.8082
2018,ACC,107.705,94.1122,63.3993,13.592799999999997
2023,P12,113.122,97.4891,68.1465,15.632900000000006
2019,A10,104.312,88.6222,68.1835,15.689799999999991
2025,BE,118.223,103.97,62.9957,14.253
2018,A10,117.399,102.494,64.1645,14.905000000000001
2018,CUSA,110.444,96.6652,66.3307,13.778800000000004
2015,P12,112.266,98.1315,65.4935,14.134500000000003
2021,SEC,106.386,91.0397,65.0579,15.3463
2023,B12,107.83,92.6217,67.5613,15.208299999999994
2015,P12,113.395,99.4712,64.4446,13.9238
2019,B10,109.268,94.1896,65.6907,15.078400000000002
2022,B12,104.382,90.4362,66.0731,13.945800000000006
2018,SEC,117.32,101.685,69.6899,15.634999999999991
2024,MVC,115.619,100.905,67.8374,14.713999999999999
2023,ASun,112.655,98.147,64.5248,14.507999999999996
2023,CUSA,112.718,99.8557,70.6091,12.862300000000005
2016,BE,109.321,95.7275,68.4903,13.593499999999992
2022,MWC,114.159,98.3029,65.0792,15.856100000000012
2022,A10,108.984,95.7071,62.9884,13.276899999999998
